INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, CUSTOMER_AGE, INCOME, RISK_TOLERANCE, INVESTMENT_GOAL)
VALUES (1, 'Ananya Iyer', 34, 45000, 'Low', 'Retirement');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, CUSTOMER_AGE, INCOME, RISK_TOLERANCE, INVESTMENT_GOAL)
VALUES (2, 'Ravi Kumar', 29, 65000, 'High', 'Wealth Growth');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, CUSTOMER_AGE, INCOME, RISK_TOLERANCE, INVESTMENT_GOAL)
VALUES (3, 'Priya Sharma', 42, 55000, 'Low', 'Child’s Education');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, CUSTOMER_AGE, INCOME, RISK_TOLERANCE, INVESTMENT_GOAL)
VALUES (4, 'Manoj Das', 31, 75000, 'Medium', 'Wealth Growth');
INSERT INTO CUSTOMERS (CUSTOMER_ID, CUSTOMER_NAME, CUSTOMER_AGE, INCOME, RISK_TOLERANCE, INVESTMENT_GOAL)
VALUES (5, 'Meera Nair', 45, 60000, 'Low', 'Retirement');


INSERT INTO INVESTMENT_PRODUCTS (PRODUCT_ID, PRODUCT_NAME, RISK_LEVEL, MIN_DURATION, RETURN_RATE)
VALUES (1, 'Fixed Deposit', 'Low', 1, 3);
INSERT INTO INVESTMENT_PRODUCTS (PRODUCT_ID, PRODUCT_NAME, RISK_LEVEL, MIN_DURATION, RETURN_RATE)
VALUES (2, 'Mutual Funds', 'High', 3, 15);
INSERT INTO INVESTMENT_PRODUCTS (PRODUCT_ID, PRODUCT_NAME, RISK_LEVEL, MIN_DURATION, RETURN_RATE)
VALUES (3, 'Ulip', 'Medium', 5, 12);
INSERT INTO INVESTMENT_PRODUCTS (PRODUCT_ID, PRODUCT_NAME, RISK_LEVEL, MIN_DURATION, RETURN_RATE)
VALUES (4, 'Fixed Deposit', 'Low', 1, 3);
INSERT INTO INVESTMENT_PRODUCTS (PRODUCT_ID, PRODUCT_NAME, RISK_LEVEL, MIN_DURATION, RETURN_RATE)
VALUES (5, 'Ulip', 'Medium', 5, 12);


INSERT INTO INVESTMENT_RECOMMENDATIONS (RECOMMENDATION_ID, CUSTOMER_ID, PRODUCT_ID, RECOMMENDED_BY, RECOMMENDATION_DATE)
VALUES (1, 1, 1, 'Low Risk & Retirement Goal', SYSDATE);
INSERT INTO INVESTMENT_RECOMMENDATIONS (RECOMMENDATION_ID, CUSTOMER_ID, PRODUCT_ID, RECOMMENDED_BY, RECOMMENDATION_DATE)
VALUES (2, 2, 2, 'High Risk & Wealth Growth Goal', SYSDATE);
INSERT INTO INVESTMENT_RECOMMENDATIONS (RECOMMENDATION_ID, CUSTOMER_ID, PRODUCT_ID, RECOMMENDED_BY, RECOMMENDATION_DATE)
VALUES (3, 3, 1, 'Medium Risk & Child Education Goal', SYSDATE);
INSERT INTO INVESTMENT_RECOMMENDATIONS (RECOMMENDATION_ID, CUSTOMER_ID, PRODUCT_ID, RECOMMENDED_BY, RECOMMENDATION_DATE)
VALUES (4, 4, 3, 'Low Risk & Retirement Goal', SYSDATE);
INSERT INTO INVESTMENT_RECOMMENDATIONS (RECOMMENDATION_ID, CUSTOMER_ID, PRODUCT_ID, RECOMMENDED_BY, RECOMMENDATION_DATE)
VALUES (5, 5, 1, 'Medium Risk & Child Education Goal', SYSDATE);
